Added,Valid proposal?,Justification,Date,Group,Presenter,Person,Proposed Combination,Proposed Extension,Proposed Term ID,Description,Comment
,FALSE,Covered upstream by ENA,2025-06-25,Region: WesternEurope,Eleni Seferidou / James Fellows Yates,Lachie Scarsbrook,MimsHumanAssociatedAncient; applied to all,Ancient,sequencing_chemistry,,
,FALSE,should be covered by env_triad update,2025-06-25,Region: WesternEurope,Eleni Seferidou / James Fellows Yates,Charoula Fotiadou,MimsHumanAssociatedAncient,Ancient,skeletal_material,"from the anthropological point of view, add the skeletal material",
,FALSE,See above (keeping as one in updated term),2025-07-01,WESpillover,Ophélie Lebrasseur / James Fellows Yates,Ludovic Orlando/Andaine Seguin-Orlando,,Ancient,specific treatment type,This would be entry 2/2 which would replace 'damage treatment type'. This would provide more information on the method used to treat damage (include DOI?),
,FALSE,Already capturedby combination of `lib_type` and `genomic_probe_desc`,2025-06-19,HAAM,Thiseas,Marwa Abdelazeem,MimsHumanAssociatedAncient,Ancient,Type_of_capture,"The type of capture that was done, where applicable. E.g. whole genome, organelle, SNP-based capture, specific genes. Hierarchical way: taxon_id > type of enrichment (genome/snp/gene) > description",
site_name,TRUE,(see above),2025-06-25,Region: WesternEurope,Eleni Seferidou / James Fellows Yates,Melanie Pruvost,MimsHumanAssociatedAncient; applied to all,Ancient,site_name,"The name(s) of the site, settlement, or archaeological or palaeontological context etc.",
desc_read_state,TRUE,"Very restricted, be careful not to promote bad practise",2025-07-01,WESpillover,Ophélie Lebrasseur / James Fellows Yates,Ludovic Orlando/Andaine Seguin-Orlando,,Ancient,state of collapsed reads / demultiplexing method/version/settings,"Within the Data Analysis section, the CAGT demultiplexes/adapter trims and collapses their sequences immediately on the fly rather than conducting it in separate states. Hence this is what is uploaded. In such cases, it would be important to include a column (maybe optional as it's based on the pipeline) on the state of the collapsed reads and what demultiplexing method/version/settings have been used.",
REJECTED: not standardisable enough,CONTROVERSIAL,"General approval, but how to encode?",2024-11-22,"Section for Molecular Ecology and Evolution, Globe Institute",Deon de Jager,Aleksandra Pach,,Ancient,ancient_dna_lab,"Ancient DNA lab where the extractions and libraries were done. e.g. Globe Institute, Copenhagen, Denmark. Or full address? ",
REJECTED: covered elsewhere,CONTROVERSIAL,Covered by relevant_electronic)_srouce,2024-12-05,MPI-EVA PopGen,James Fellows Yates,Stephan Schiffels,MimsHumanAssociatedAncient,Ancient,archaeological_notes,Other relevant archaeological contextual information about the ancient individual (optional),
REJECTED: covered elsewhere,CONTROVERSIAL,Covered by relevant_electronic)_srouce,2025-06-25,Region: WesternEurope,Eleni Seferidou / James Fellows Yates,Lachie Scarsbrook,MimsHumanAssociatedAncient,Ancient,archaeological_site_details,"This could include the site name, type of site (e.g. settlement, natural deposit), age of the context (which can differ considerably from the sample, such as intrusion of material), etc.",
REJECTED: we upload blanks as a sample,CONTROVERSIAL,"Need to speak to GSC/ENA how they envision controls be represented (uploads in aDNA common, not in biology?); Make neg_control_type multivalued (e.g. sampling, extraction, library)",2025-06-25,Region: WesternEurope,Eleni Seferidou / James Fellows Yates,Noah Gaens,MimsHostAssociatedAncient,Ancient,multiple_negative_controls,"Suppose one uses multiple negative controls, for instance both during DNA collection (empty collection tube), DNA extraction (sterile H2O) and library prep (DNA-free PCR mix)",
REJECTED: not standardisable enough,CONTROVERSIAL,,2024-11-22,"Section for Molecular Ecology and Evolution, Globe Institute",Deon de Jager,Aleksandra Pach,,Ancient,seq_facility,Sequencing facility where the libraries were sequenced. e.g. GeoGenetics Sequencing Core; Novogene UK; etc.,
