Date       ,Group             ,Presenter           ,Person                                                 ,Combination                           ,Combination Version ,Extension/Package of Term ID ,Term ID                                    ,Feedback                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                    ,      ,          ,       ,            ,                    ,                             ,        ,
3/8/2024   ,Eurac             ,Mohamed             ,Stefania/Christina/Alexandra                           ,MIMSHostassociated+Ancient            ,v0.1.0              ,ancient                      ,sample_name                                ,write clearer definintion. Legend: is the ID you use in your DNA lab                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                        ,      ,          ,       ,            ,                    ,                             ,        ,
3/8/2024   ,Eurac             ,Mohamed             ,Stefania/Christina/Alexandra                           ,MIMSHostassociated+Ancient            ,v0.1.0              ,ancient                      ,source_mat_id                              ,this should be the ID used in the publication associated with the sample; this should be made mandatory                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                     ,      ,          ,       ,            ,                    ,                             ,        ,
3/8/2024   ,Eurac             ,Mohamed             ,Stefania/Christina/Alexandra                           ,MIMSHostassociated+Ancient            ,v0.1.0              ,ancient                      ,ethical_authority                          ,should be mandatory                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                         ,      ,          ,       ,            ,                    ,                             ,        ,
3/8/2024   ,Eurac             ,Mohamed             ,Stefania/Christina/Alexandra                           ,MIMSHostassociated+Ancient            ,v0.1.0              ,ancient                      ,ethical_date                               ,should be mandatory                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                         ,      ,          ,       ,            ,                    ,                             ,        ,
3/8/2024   ,Eurac             ,Mohamed             ,Stefania/Christina/Alexandra                           ,MIMSHostassociated+Ancient            ,v0.1.0              ,ancient                      ,ethical_id                                 ,should be mandatory                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                         ,      ,          ,       ,            ,                    ,                             ,        ,
3/8/2024   ,Eurac             ,Mohamed             ,Stefania/Christina/Alexandra                           ,MIMSHostassociated+Ancient            ,v0.1.0              ,ancient                      ,storage_conditions                         ,More specific options are needed; What is stored? The individual? The sampled bone?  The suggestions à the individual in general; should be better specified in the description; multiple options for 1 sample                                                                                                                                                                                                                                                                                                                                                                                                                                              ,      ,          ,       ,            ,                    ,                             ,        ,
3/8/2024   ,Eurac             ,Mohamed             ,Stefania/Christina/Alexandra                           ,MIMSHostassociated+Ancient            ,v0.1.0              ,ancient                      ,recovery_date                              ,"in the description you specify a time stamp, but in most of the excavations there are time ranges "                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                        ,      ,          ,       ,            ,                    ,                             ,        ,
3/8/2024   ,Eurac             ,Mohamed             ,Stefania/Christina/Alexandra                           ,MIMSHostassociated+Ancient            ,v0.1.0              ,ancient                      ,site_type                                  ,"for aDNA it would be very interesting; it is not very clear where to put the information where the individual was buried – soil, tomb, cave?  Suggestion à We want to add in the ancient package another term to specify where the individuals was buried; especially to specify if the individual was in contact with soil or not (e.g. wooden/stone coffin etc.) "                                                                                                                                                                                                                                                                                       ,      ,          ,       ,            ,                    ,                             ,        ,
3/8/2024   ,Eurac             ,Mohamed             ,Stefania/Christina/Alexandra                           ,MIMSHostassociated+Ancient            ,v0.1.0              ,ancient                      ,cultural_era                               ,"The chronology is problematic if you have e.g., 14C data that spans over more than only one chronological timing. Also, the webpage given makes it difficult to select the right cultural era; cultural_era or sample_age should be mandatory; you need to put the option to put NA;"                                                                                                                                                                                                                                                                                                                                                                      ,      ,          ,       ,            ,                    ,                             ,        ,
3/8/2024   ,Eurac             ,Mohamed             ,Stefania/Christina/Alexandra                           ,MIMSHostassociated+Ancient            ,v0.1.0              ,ancient                      ,sample_age                                 ,BP is misleading; therefore use BCE and CE; if this is mandatory then sample_age_inference has to be mandatory as well                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                      ,      ,          ,       ,            ,                    ,                             ,        ,
3/8/2024   ,Eurac             ,Mohamed             ,Stefania/Christina/Alexandra                           ,MIMSHostassociated+Ancient            ,v0.1.0              ,ancient                      ,dna_extraction_date                        ,"In the legend, it should be specified, that in case you give a specific date, it should be indicated the STARTING date of the DNA-Extraction "                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                             ,      ,          ,       ,            ,                    ,                             ,        ,
3/8/2024   ,Eurac             ,Mohamed             ,Stefania/Christina/Alexandra                           ,MIMSHostassociated+Ancient            ,v0.1.0              ,ancient                      ,damage_treatment                           ,why do you define enrichment as a damage treatment?                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                         ,      ,          ,       ,            ,                    ,                             ,        ,
3/8/2024   ,Eurac             ,Mohamed             ,Stefania/Christina/Alexandra                           ,MIMSHostassociated+Ancient            ,v0.1.0              ,ancient                      ,experimental_procedures                    ,"is it for DNA extraction, or Library method, or Capture? Should be separated in DNA_extraction_procedure; Library_preparation_procedure, Capture_procedure "                                                                                                                                                                                                                                                                                                                                                                                                                                                                                               ,      ,          ,       ,            ,                    ,                             ,        ,
3/8/2024   ,Eurac             ,Mohamed             ,Stefania/Christina/Alexandra                           ,MIMSHostassociated+Ancient            ,v0.1.0              ,mims                         ,lib_type                                   ,"We suggest to change this term, since we find it misleading; the term lib_type should be used to indicate if single- or double-stranded libraries were generated; should be mandatory since for some tools you need to specify between single and double-stranded library preparation;  to define the general sequencing approach we suggest another term (see below sequencing_approach); "                                                                                                                                                                                                                                                               ,      ,          ,       ,            ,                    ,                             ,        ,
3/8/2024   ,Eurac             ,Mohamed             ,Stefania/Christina/Alexandra                           ,MIMSHostassociated+Ancient            ,v0.1.0              ,ancient                      ,num_capture_reamp_cycles                   ,"if we have more number of captures for one sample, you should be able to write subsequently all the numbers of cycles of each round (e.g., 20|15|10) "                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                     ,      ,          ,       ,            ,                    ,                             ,        ,
3/8/2024   ,Eurac             ,Mohamed             ,Stefania/Christina/Alexandra                           ,MIMSHostassociated+Ancient            ,v0.1.0              ,ancient                      ,sample_alt_lab_ids                         ,"Be more specific about which kind of data C14 IDs, isotopic IDs etc. "                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                    ,      ,          ,       ,            ,                    ,                             ,        ,
3/8/2024   ,Eurac             ,Mohamed             ,Stefania/Christina/Alexandra                           ,MIMSHostassociated+Ancient            ,v0.1.0              ,ancient                      ,original_sample_id                         ,"Here it need to be indicated the ID of the individuals given by the permanent sample-hosting institution. So where the individual is stored e.g., collection, museum, etc.; make this mandatory; "                                                                                                                                                                                                                                                                                                                                                                                                                                                        ,      ,          ,       ,            ,                    ,                             ,        ,
3/8/2024   ,Eurac             ,Mohamed             ,Stefania/Christina/Alexandra                           ,MIMSHostassociated+Ancient            ,v0.1.0              ,ancient                      ,sample_name                                ,Is already present in the mims Date                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                        ,Group ,Presenter ,Person ,Combination ,Combination Version ,Extension/Package of Term ID ,Term ID ,Feedback
2024-05-06 ,SPAAMTisch        ,"James, Meriam"     ,Tsunami  Piotr Rozwalak?                               ,AncientSedimentMIMS                   ,v0.1.0              ,mims                         ,samp_taxon_id                              ,You could add the links in the legend: https://ena-docs.readthedocs.io/en/latest/faq/taxonomy.html and https://www.ncbi.nlm.nih.gov/Taxonomy/Browser/wwwtax.cgi                                                                                                                                                                                                                                                                                                                                                                                                                                                                                             ,      ,          ,       ,            ,                    ,                             ,        ,
2024-05-06 ,SPAAMTisch        ,"James, Meriam"     ,Tsunami  Piotr Rozwalak?                               ,AncientSedimentMIMS                   ,v0.1.0              ,mims                         ,env_broad_scale                            ,You should replace current link with http://purl.obolibrary.org/obo/ENVO_00000428  in the legend                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                            ,      ,          ,       ,            ,                    ,                             ,        ,
2024-05-06 ,SPAAMTisch        ,"James, Meriam"     ,Tsunami  Piotr Rozwalak?                               ,AncientSedimentMIMS                   ,v0.1.0              ,sediment                     ,temp                                       ,"This category is confusing, I don't know situations where temperature of sediments is measured in field practice. And also might misleading to the temperature of storage"                                                                                                                                                                                                                                                                                                                                                                                                                                                                                 ,      ,          ,       ,            ,                    ,                             ,        ,
2024-05-06 ,SPAAMTisch        ,"James, Meriam"     ,Tsunami  Piotr Rozwalak?                               ,AncientSedimentMIMS                   ,v0.1.0              ,sediment                     ,depth                                      ,units could be better standarized                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                           ,      ,          ,       ,            ,                    ,                             ,        ,
2024-05-06 ,SPAAMTisch        ,"James, Meriam"     ,Tsunami  Piotr Rozwalak?                               ,AncientSedimentMIMS                   ,v0.1.0              ,ancient                      ,dna_extraction_date                        ,I think this could be optional                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                              ,      ,          ,       ,            ,                    ,                             ,        ,
2024-05-06 ,SPAAMTisch        ,"James, Meriam"     ,Tsunami  Piotr Rozwalak?                               ,AncientSedimentMIMS                   ,v0.1.0              ,ancient                      ,experimental_procedures                    ,In the legend: „Provide a DOI to refer to the paper where the procedure is explained in more details” what procedures? Damage treatment?                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                    ,      ,          ,       ,            ,                    ,                             ,        ,
2024-05-06 ,SPAAMTisch        ,"James, Meriam"     ,Tsunami  Piotr Rozwalak?                               ,AncientSedimentMIMS                   ,v0.1.0              ,ancient                      ,lib_type                                   ,I would like to specify somewhere the name of specific region that was amplified                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                            ,      ,          ,       ,            ,                    ,                             ,        ,
2024-05-06 ,SPAAMTisch        ,"James, Meriam"     ,Zoe Pochon                                             ,AncientHost-associatedMIMS            ,v0.1.0              ,mims                         ,samp_name                                  ,It would be nice to have a samp_name_alias option here to provide the archaeological ID for example                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                         ,      ,          ,       ,            ,                    ,                             ,        ,
2024-05-06 ,SPAAMTisch        ,"James, Meriam"     ,Zoe Pochon                                             ,AncientHost-associatedMIMS            ,v0.1.0              ,mims                         ,samp_taxon_id                              ,What do we do in case of coinfection?                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                       ,      ,          ,       ,            ,                    ,                             ,        ,
2024-05-06 ,SPAAMTisch        ,"James, Meriam"     ,Zoe Pochon                                             ,AncientHost-associatedMIMS            ,v0.1.0              ,mims                         ,collection_date                            ,Would need to ask my colleague. Why is it compulsory if we already provide the sequencing date? Or do you mean the excavation date?                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                         ,      ,          ,       ,            ,                    ,                             ,        ,
2024-05-06 ,SPAAMTisch        ,"James, Meriam"     ,Zoe Pochon                                             ,AncientHost-associatedMIMS            ,v0.1.0              ,mims                         ,env_broad_scale                            ,"In the legend section of this item, the link for more explanation doesn't work when one clicks on it. I also am not sure on how to find that kind of information because it would require the archaeologists to go back into their excavation files."                                                                                                                                                                                                                                                                                                                                                                                                      ,      ,          ,       ,            ,                    ,                             ,        ,
2024-05-06 ,SPAAMTisch        ,"James, Meriam"     ,Zoe Pochon                                             ,AncientHost-associatedMIMS            ,v0.1.0              ,mims                         ,geo_loc_name                               ,Link in legend table broken as well (404 page not found)                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                    ,      ,          ,       ,            ,                    ,                             ,        ,
2024-05-06 ,SPAAMTisch        ,"James, Meriam"     ,Zoe Pochon                                             ,AncientHost-associatedMIMS            ,v0.1.0              ,mims                         ,lat_lon                                    ,"Would be nice to add a link on how to find out that kind of information about a site. I ended up taking it from wikipedia. Also, how precise should it be?"                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                ,      ,          ,       ,            ,                    ,                             ,        ,
2024-05-06 ,SPAAMTisch        ,"James, Meriam"     ,Zoe Pochon                                             ,AncientHost-associatedMIMS            ,v0.1.0              ,host-associated              ,host_taxid                                 ,I think this one should be mandatory too                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                    ,      ,          ,       ,            ,                    ,                             ,        ,
2024-05-06 ,SPAAMTisch        ,"James, Meriam"     ,Zoe Pochon                                             ,AncientHost-associatedMIMS            ,v0.1.0              ,ancient                      ,dna_extraction_date                        ,Would be nice if we could choose the format of entry for the date because mine are registered in swedish format yy/mm/dd and it didn't work well copy-pasting                                                                                                                                                                                                                                                                                                                                                                                                                                                                                               ,      ,          ,       ,            ,                    ,                             ,        ,
2024-05-06 ,SPAAMTisch        ,"James, Meriam"     ,Zoe Pochon                                             ,AncientHost-associatedMIMS            ,v0.1.0              ,mims                         ,lib_layout                                 ,I think this one should be compulsory                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                       ,      ,          ,       ,            ,                    ,                             ,        ,
2024-05-06 ,SPAAMTisch        ,"James, Meriam"     ,Zoe Pochon                                             ,AncientHost-associatedMIMS            ,v0.1.0              ,ancient                      ,lib_type                                   ,"I find lib_type misleading, would prefer it to be named amplicon, it would be clearer on what is the question"                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                             ,      ,          ,       ,            ,                    ,                             ,        ,
2024-05-06 ,SPAAMTisch        ,"James, Meriam"     ,Rodrigo Barquera                                       ,AncientHost-associatedMIMS            ,v0.1.0              ,mims                         ,env_broad_scale                            ,"I would suggest, as req lvl X, original env_broad_scale. In the case of for example, Mexico City, pre-Hispanic era classification is completely different to what it was shortly after conquest, and completely different to what it is now"                                                                                                                                                                                                                                                                                                                                                                                                               ,      ,          ,       ,            ,                    ,                             ,        ,
2024-05-06 ,SPAAMTisch        ,"James, Meriam"     ,Rodrigo Barquera                                       ,AncientHost-associatedMIMS            ,v0.1.0              ,ancient                      ,cultural_era                               ,"Maybe add, if available, whether location at recovery matches location of origin (yes/no/unknown), and whether there are diet studies available (yes/no/unknown)"                                                                                                                                                                                                                                                                                                                                                                                                                                                                                          ,      ,          ,       ,            ,                    ,                             ,        ,
2024-05-06 ,SPAAMTisch        ,"James, Meriam"     ,Bianca Bonucci                                         ,AncientHost-associatedMIMS            ,v0.1.0              ,ancient                      ,storage_conditions                         ,Storage is not specialised for preserving DNA                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                               ,      ,          ,       ,            ,                    ,                             ,        ,
2024-05-06 ,SPAAMTisch        ,"James, Meriam"     ,Bianca Bonucci                                         ,AncientHost-associatedMIMS            ,v0.1.0              ,ancient                      ,recovery_date                              ,"ISO8601 compliant? The collection_date makes a good job of explaining this, could probably use the same description"                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                       ,      ,          ,       ,            ,                    ,                             ,        ,
2024-05-06 ,SPAAMTisch        ,"James, Meriam"     ,Bianca Bonucci                                         ,AncientHost-associatedMIMS            ,v0.1.0              ,mims                         ,collection_date                            ,Sample was collected by a previous PhD student who left the Uni                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                             ,      ,          ,       ,            ,                    ,                             ,        ,
