name	title	slot_uri	comments	description	examples	in_subset	keywords	multivalued	pattern	range	recommended	required	string_serialization	structured_pattern	Expected_value	Preferred_unit
experimental_sop	experimental procedures	MIXS:999999907		Provide a DOI or URL to refer to the paper where the field report, nucleic acid extraction,  library construction, and other procedures are explained in more detail, e.g. the paper reporting the data.	{'value': 'doi:10.1093/nar/gkr771'}	nucleic acid sequence source		True	^^PMID:\d+$|^doi:10.\d{2,9}/.*$|^https?:\/\/(?:www\.)?[-a-zA-Z0-9@:%._\+~#=]{1,256}\.[a-zA-Z0-9()]{1,6}\b(?:[-a-zA-Z0-9()@:%_\+.~#?&\/=]*)$$	string				{'syntax': '^{PMID}|{DOI}|{URL}$', 'interpolated': True, 'partial_match': True}		
geological_epoch	geological epoch	MIXS:999999902		The geological epoch approximating to the period within which the specimen or sample existed. Where possible use terms from ontologies.	{'value': 'Pliocene'}	nucleic acid sequence source	ancient|age	False		GeolEpochEnum	False	False			ontology term; text	
host_preserv_state		MIXS:999999929		Description of the state of the sampled (ancient) organism/host as originally preserved in the burial environment or in the context museomics (eg. taxidermied or pinned), e.g. if the the sample was artificially or naturally (fully/partially) mummified at the time of death.	{'value': 'fully skeletonised.'}	nucleic acid sequence source	ancient	False		string	False	False	{text}		Description of the preservation of the sampled (ancient) organism/host.	
latest_chrono_age	Latest Chronometric Age	MIXS:999999918		The minimum/latest/youngest possible age of a specimen as determined by a dating method.	{'value': '1700'}	nucleic acid sequence source				integer	True	True			age value corresponding to unit	
latest_chrono_sys	Latest Chronometric Age Reference System	MIXS:999999919		The reference system associated with the chrono:latest_chrono_age.	{'value': 'kya'}	investigation		True		ChronoAgeSysEnum	True	True				
lib_polymerase	library polymerase	MIXS:999999909		The polymerase enzyme used for building nucleic acid libraries.	{'value': 'AmpliTaq Gold DNA Polymerase'}	sequencing	polymerase|library|preparation			string	True	False	{text}		name of polymerase used during library construction	
lib_preparation_sop	library preparation protocols	MIXS:999999907		Citation(s) for the nucleic acid library preparation protocol.	{'value': 'doi:10.1093/nar/gkr771'}	nucleic acid sequence source		True	^^PMID:\d+$|^doi:10.\d{2,9}/.*$|^https?:\/\/(?:www\.)?[-a-zA-Z0-9@:%._\+~#=]{1,256}\.[a-zA-Z0-9()]{1,6}\b(?:[-a-zA-Z0-9()@:%_\+.~#?&\/=]*)$$	string				{'syntax': '^{PMID}|{DOI}|{URL}$', 'interpolated': True, 'partial_match': True}		
lib_strandedness	nucleic acid strandedness in library creation	MIXS:999999930		The strandedness of the original template nucleic acid molecules used for constructing the sequencing library	{'value': 'double'}	sequencing	library|preparation	True		LibStrandEnum	True	False			nucleic acid library strandedness	
lib_type	library type	MIXS:999999910		The type of library created, i.e., amplicon, enriched, or shotgun. An amplicon library is a library that has been amplified to target a single specific region of a genome (e.g. a specific gene).  An enriched library is a library has had a particular genome, or multiple genomic regions/positions 'captured' or enriched typically via baits/probes. A shotgun library has undergone no type of targeted amplification/enrichment for a particular genomic region or genome, i.e., random sequencing of any nucleic acid molecule contained in a genomic library.	{'value': 'enriched'}	sequencing	library|preparation			LibTypeEnum	True	False				
library_name	library name	MIXS:999999933		Any ID or name used for referring to a nucleic acid sequencing library associated with the sample.	{'value': 'A003-1-SG1'}	sequencing	sequencing	True		string	True	False			name of sequencing library	
mid_config	multiplex identifiers or indexing configuration of libraries	MIXS:999999933		Index/barcode/primer configuration used during library building for sequencing. This includes information such as the number, type and location of indexes, the index/primer kit/list, or if 'inline' barcodes or UMIs were ligated directly onto the template molecules.	{'value': 'UDI index sequences.'}	sequencing	library|preparation	True		string	True	False	{text}		Description of the indexing configuration of the library	
neg_cont_status	negative control status	MIXS:999999911		Specify whether the sample is a negative control or not.	{'value': 'true'}	nucleic acid sequence source	control			boolean						
nucl_acid_extr_date	date of extraction of nucleic acids from sample	MIXS:9999999904		The date when the nucleic acid extraction was started from the sample material. In case no exact time is available, the date can be right truncated i.e. all of these are valid times: 2008-01-23T19:23:10+00:00; 2008-01-23T19:23:10; 2008-01-23; 2008-01; 2008; Except: 2008-01; 2008 all are ISO8601 compliant	{'value': '2023-12-01'}	nucleic acid sequence source				datetime	True	False				
num_capture_cycles	number of reamplification cycles after capture	MIXS:999999912		Number of amplification cycles after capture enrichment	{'value': '12'}	sequencing		True		integer						
num_reamp_cycles	number of reamplification cycles	MIXS:999999913		Number of amplification cycles after library indexing PCR. If capture data, this refers to amplifications prior to the capture experiments.	{'value': '12'}	sequencing				integer						
palaeopath_status	palaeopathology status	MIXS:999999926		Describe briefly any relevant palaeopathological or health-related observations of the remains of the individual under study.	{'value': 'Caries on right upper molar.'}	nucleic acid sequence source	palaeopathology|host health|ancient	False		string	False	False	{text}		description of health related observation on ancient remains	
past_env_broad	broad-scale past environmental context	MIXS:0099999		"Report information about the general ancient broad environmental system that the sample or specimen existed or lived within, as it was at the time of deposition or burial (e.g. in the desert or a forest). This should not describe the environment as it is today (e.g. farmland), but specifically the state as it was in the past (i.e. the palaeo- or (pre)historical ecosystem). Compared to `env_broad_scale` which is taken from direct observation, the information about the past environment will normally be derived from inference from archaeological, palaeontological, geological, or other scientific methods. We recommend using subclasses of EnvO s biome class:  http://purl.obolibrary.org/obo/ENVO_00000428. EnvO documentation about how to use the field for present day equivalents: https://github.com/EnvironmentOntology/envo/wiki/Using-ENVO-with-MIxS"""	{'value': 'dessert biome [ENVO:01000247]'}	environment	context|environmental|ancient		^([^\s-]{1,2}|[^\s-]+.+[^\s-]+) \[[a-zA-Z]{2,}:[a-zA-Z0-9]\d+\]$	string	True	False		{'syntax': '^{termLabel} \\[{termID}\\]$', 'interpolated': True, 'partial_match': True}		
past_env_local	local past environmental context	MIXS:0000999		"Report information about the smaller-scale environmental system of the local vicinity of the sample or specimen at the time of deposition or burial (e.g. in hillside, burial mound, or midden). This should not describe the environment as it is today (e.g. carpark), but specifically the entity or entities surrounding the sample that may have significant causal influences as it was in the past. Compared to `env_local_scale` which is taken from direct observation, the information about the past environment will normally be derived from inference from archaeological, palaeontological, geological, or other scientific methods. We recommend using EnvO terms which are of smaller than your entry for past_env_broad. Terms, such as anatomical sites, from other OBO Library ontologies which interoperate with EnvO (e.g. UBERON) are accepted in this field. EnvO documentation about how to use the field for present day equivalents: https://github.com/EnvironmentOntology/envo/wiki/Using-ENVO-with-MIxS"""	{'value': 'hillside [ENVO:01000333]'}	environment	context|environmental|ancient			string	True	False	{termLabel} [{termID}]		Report information about smaller environmental entities having causal influences upon the sample or specimen at/during the time of burial	
permit_authority	permit authority	MIXS:999999905		Name of the authorit(ies) or institution(s) that granted sampling and analysis (e.g. human remains) and/or export permission (e.g. animal remains), as well any form of ethical approval (whether from institutional research ethics boards such as REB or IRBs, or indigenous or native community associations), if available.	{'value': 'Federal Foreign Office (Germany)'}	investigation	ethics|location	True		string	True	False			Name of authority providing permission or ethical approval.	
permit_date	date of permit approval	MIXS:9999999906		Date on which a permit was granted. The date can be right truncated i.e. all of these are valid times: 2008-01-23; 2008-01; 2008; Except: 2008-01; 2008 all are ISO8601 compliant.	{'value': '2023-12-01'}	investigation				datetime	True	False				
permit_id	permit or approval ID	MIXS:999999906		A permit ID, code, or any form of identify provided by any authority (ethical, local, legal, academic etc.) associated with the approval of the analysis of this particular sample, if available.	{'value': 'DE-123-JK'}	investigation	ethics	True		string	True	False				
permit_scope	permit scope	MIXS:999999928		Description of the original scope and permissions of the research on the genetic material, as was approved by a legal, ethical, or relevant authority (e.g. bacteria only, DNA only, bacteria and human, no host read analysis allowed). Note this description is only informative, and will not necessarily automatically apply restrictions to associated data to other researchers.	{'value': 'Defined scope only includes the study of bacterial sequences and any human sequence is not covered under the agreement.'}	ethics	ethics	True		string	True	False	{text}		Description of the scope of ethical permissions for data use.	
prev_pubs	previous publications	MIXS:999999915		Any publications that report data from the same body/skeleton/individual	{'value': 'doi:10.1016/j.jas.2015.02.0181'}	nucleic acid sequence source		True	^^PMID:\d+$|^doi:10.\d{2,9}/.*$|^https?:\/\/(?:www\.)?[-a-zA-Z0-9@:%._\+~#=]{1,256}\.[a-zA-Z0-9()]{1,6}\b(?:[-a-zA-Z0-9()@:%_\+.~#?&\/=]*)$$	string				{'syntax': '^{PMID}|{DOI}|{URL}$', 'interpolated': True, 'partial_match': True}		
samp_alt_lab_ids	alternative sample IDs	MIXS:999999924		An alternative sample or material IDs related to the sample not already covered by terms samp_name and source_mat_id, including from associated other non-genetic analyses of the same sample (e.g. museum IDs, internal lab sample ID from sampling such a bone drilling). Can be specified multiple times for different ID contexts.	{'value': 'Museum ID: NHM_AR_123, Drilling ID: DRL_001, Extraction ID: ABC_24'}	investigation		True		string			{text}			
samp_decont_pretreat	sample decontamination pretreatment	MIXS:999999917		Method(s) employed for surface decontamination of samples of external  modern nucleic acids; Treatment used on the samples. Depends on the sample type.  More relevant for bones than environmental samples. E.g. buffers, EDTA, etc.	{'value': 'doi:10.1016/j.jas.2015.02.0181'}	nucleic acid sequence source		True	^^PMID:\d+$|^doi:10.\d{2,9}/.*$|^https?:\/\/(?:www\.)?[-a-zA-Z0-9@:%._\+~#=]{1,256}\.[a-zA-Z0-9()]{1,6}\b(?:[-a-zA-Z0-9()@:%_\+.~#?&\/=]*)$$	string				{'syntax': '^{PMID}|{DOI}|{URL}$', 'interpolated': True, 'partial_match': True}		
samp_preserv_treatm	preservational treatment	MIXS:999999914		Description of any treatment applied to samples for the purpose of maximising collection preservation that may influence downstream nucleic acid recovery or library construction, such as storage fluid or reconstructive glue	{'value': 'stored in formalin'}	nucleic acid sequence source	ancient	True		string			{text}			
site_name	Name of site or location where sample originated	MIXS:999999933		Designated name of the archaeological or ecological site, ancient settlement, or location etc. where the sample was originally collected. Can be a non-geographical name, such as a field-specific name or code, the official name of an excavation, or a colloquial name that is used in academic literature. Typically names that would not be found on official maps. Can also include different transliterations or languages used in the literature.	{'value': 'Kap København Formation'}	environment	environment|sample	True		string	False	False			Name of site or location where sample was originated	
storage_conditions	storage conditions	MIXS:999999925		General conditions in which the material (before sampling for nucleic acid analysis) was stored in long-term collection storage, that may influenced nucleic acid recovery or library construction. For example, specify temperature, humidity, presence of microbial overgrowth etc..	{'value': 'Stored at -20oC until nucl_acid_ext_date'}	nucleic acid sequence source				string			{text}			
